site,pH,EC_dS_m,OM_pct,N_mgkg,P_mgkg,K_mgkg,BD_gcc,erosion_score,veg_cover_pct
Site_1,6.8,0.7,3.5,3200,18,170,1.25,1,78
Site_2,5.9,1.3,2.1,2100,10,110,1.45,3,45
Site_3,7.2,0.5,4.2,3500,22,190,1.20,0,85
Site_4,5.4,2.2,1.4,1400,6,75,1.55,4,30
Site_5,6.5,0.8,3.0,2800,15,150,1.30,1,70
Site_6,7.8,1.0,2.6,2400,12,130,1.40,2,60
Site_7,6.1,1.7,1.8,1800,8,95,1.52,3,40
Site_8,6.9,0.6,3.8,3300,20,180,1.22,1,82
Site_9,5.2,2.5,1.2,1200,5,65,1.60,5,20
Site_10,6.7,0.9,3.2,2900,16,155,1.28,1,75
Site_11,7.1,0.7,4.0,3400,21,185,1.21,0,88
Site_12,5.7,1.9,1.6,1600,7,85,1.58,4,35
